task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,1Header, 1Column,1Par 1,1Prompt ,1Answer,1Answer Column / Row,2Header,2Column,2Par 1,2Prompt , 2Answer, 2Answer Column / Row,3Header,3Column,3Par 1, 3Prompt ,3Expected Answer, 3Answer Column / Row, 4Header, 4Column,4Par 1,4Prompt,4Answer,4Answer Column / Row, 5Header, 5Column,5Par1,5Prompt,5Answer,5Answer Column / Row
,DS1_anime_plain1.png,33,1,anime,plain,1,,Score,J,80,"In the 'Score' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Plan to Watch,L,60 56 53,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Different Life-Mobile Phone-Great Teacher,13 18 27,Completed,D,,"In the 'Completed' column, calculate a rough estimate of the average value",28.89655172413793,D,Watching,G,15,"In the 'Watching' column, find the  with a value equal to '15' ",Helping Alice,16
,DS2_anime_plain2.png,34,2,anime,plain,2,,Plan to Watch,I,70,"In the 'Plan to Watch' column, count how many cells exceed the value of '70' ",6,I,Plan to Watch,C,0.9790768125482828,Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ,Favorites,L,Plan to Watch,I,88 86 83,"In the 'Plan to Watch' column, give the row names of the animes with the highest 3 values in descending order ",Connect Angel-Best Humanity-Assassian World,5 18 6,Ranked,F,,"In the 'Ranked' column, calculate a rough estimate of the average value",62.37931034482759,F,On-Hold,H,26,"In the 'On-Hold' column, find the  with a value equal to '26' ",Attacking Titan,20
,DS3_anime_plain3.png,35,3,anime,plain,3,,Popularity,G,88,"In the 'Popularity' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,Ranked,J,75 73 71,"In the 'Ranked' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Connect Angel-Magical Warfare,5 10 11,Completed,E,,"In the 'Completed' column, calculate a rough estimate of the average value",37.86206896551724,E,On-Hold,I,17,"In the 'On-Hold' column, find the  with a value equal to '17' ",Ultimate horror,16
,DS4_anime_plain4.png,36,4,anime,plain,4,,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Score,K,74 73 70,"In the 'Score' column, give the row names of the animes with the highest 3 values in descending order ",Ultra Generation-Mobile Phone-Ultimate horror,6 24 22,Members,G,,"In the 'Members' column, calculate a rough estimate of the average value",47.6551724137931,G,Popularity,J,12,"In the 'Popularity' column, find the  with a value equal to '12' ",Helping Alice,18
,DS5_cereal_bar1.png,53,5,cereal,bar,1,,Carbo,I,57,"In the 'Carbo' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Calories,H,88 86 83,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",Lucky Charms-Smile Maker-Wonderful Chex,5 19 20,Vitamins,F,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F,Protein,K,51,"In the 'Protein' column, find the  with a value equal to '51' ",Mini Wheats,17
,DS6_cereal_bar2.png,54,6,cereal,bar,2,,Sodium,H,70,"In the 'Sodium' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934068,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",Froot Loops-Almond Delight-Post Nat,22 3 7,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",42.10344827586207,E,Sodium,H,32,"In the 'Sodium' column, find the  with a value equal to '32' ",Colorful Bran,19
,DS7_cereal_bar3.png,55,7,cereal,bar,3,,Carbo,J,45,"In the 'Carbo' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Carbo,J,60 56 53,"In the 'Carbo' column, give the row names of the cereals with the highest 3 values in descending order ",Fruity Pebbles-Colorful Bran-Cap Crunch,7 23 18,Sugars,D,,"In the 'Sugars' column, calculate a rough estimate of the average value",35.62068965517241,D,Calories,I,83,"In the 'Calories' column, find the  with a value equal to '83' ",Corn Favorite,17
,DS8_cereal_bar4.png,56,8,cereal,bar,4,,Sugars,K,60,"In the 'Sugars' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Sugars,K,75 73 71,"In the 'Sugars' column, give the row names of the cereals with the highest 3 values in descending order ",Cap Crunch-Fruit Fibre-Colorful Bran,16 10 19,Calories,E,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E,Sugars,K,26,"In the 'Sugars' column, find the  with a value equal to '26' ",Double Chex,20
,DS9_candy_zebra1.png,25,9,candy,zebra,1,,SugarPercent,K,66,"In the 'SugarPercent' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Hard,H,98 84 80,"In the 'Hard' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Crunch Time-Now Later,30 9 11,Nougat,G,,"In the 'Nougat' column, calculate a rough estimate of the average value",37.86206896551724,G,Pluribus,J,32,"In the 'Pluribus' column, find the  with a value equal to '32' ",Root Barrels,19
,DS10_candy_zebra2.png,26,10,candy,zebra,2,,Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,SugarPercent,C,0.9994148327618344,Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ,Rating,J,Almond,K,75 73 71,"In the 'Almond' column, give the row names of the candys with the highest 3 values in descending order ",Fun Dips-Laffy Taffy-Gold Bears,31 8 26,Nougat,D,,"In the 'Nougat' column, calculate a rough estimate of the average value",35.62068965517241,D,Almond,K,52,"In the 'Almond' column, find the  with a value equal to '52' ",Cheese Bears,16
