Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Header, Column,Par 1,Par 2, Prompt , Answer, Answer Column / Row, Header, Column.1,Par 1.1,Par 2.1,T2 Prompt , Answer.1, Answer Column,Header.1, Column.2,Par 1.2,Par 2.2, Prompt .1,Highest Value,T3 Highest Row Index,T3 Answer1 ,Second Highest Value,T3 Second Row Index,T3 Answer2,Third Highest Value,T3 Third Row Index,T3 Answer3,Expected Answer, Answer Column / Row.1, Header.1, Column.3,Par 1.3,Par 2.3,T4 Prompt ,T4 Answer, Answer Column / Row.2, Header.2, Column.4,Par1,Par2,T5 Prompt,T5 Answer,T5 Row Index
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,0,"In the 'Watching' column, count how many cells exceed the value of '80' ",7,J,Episodes,C,0.9584557641748676,,Determine which of the last 5 columns is most positively correalated with the first column named 'Episodes' ,Completed,I,Dropped,L,60 56 53,,"In the 'Dropped' column, give the row names of the animes with the highest 3 values in descending order ",60,13,Fafnar Weapon,56,18,Connect Angel,53,27,Dragon Ball,Fafnar Weapon-Connect Angel-Dragon Ball,13 18 27,Score,D,,,"In the 'Score' column, calculate a rough estimate of the average value",28.896551724137932,D,Members,G,15,1,"In the 'Members' column, find the  with a value equal to '15' ",Metal Panic,16
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,0,"In the 'Popularity' column, count how many cells exceed the value of '70' ",6,I,"Plan to Watch",C,0.9790768125482829,,"Determine which of the last 5 columns is most positively correalated with the first column named 'Plan to Watch' ",Favorites,L,Popularity,I,88 86 83,,"In the 'Popularity' column, give the row names of the animes with the highest 3 values in descending order ",88,5,Different Life,86,18,Connect Angel,83,6,Assassian World,Different Life-Connect Angel-Assassian World,5 18 6,Episodes,F,,,"In the 'Episodes' column, calculate a rough estimate of the average value",62.37931034482759,F,Ranked,H,26,1,"In the 'Ranked' column, find the  with a value equal to '26' ",Monster Hunter,20
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,0,"In the 'Watching' column, count how many cells exceed the value of '88' ",5,G,Completed,C,0.9922747576934067,,Determine which of the last 5 columns is most positively correalated with the first column named 'Completed' ,Episodes,K,On-Hold,J,75 73 71,,"In the 'On-Hold' column, give the row names of the animes with the highest 3 values in descending order ",75,5,Dragon Ball,73,10,Different Life,71,11,Connect Angel,Dragon Ball-Different Life-Connect Angel,5 10 11,Members,E,,,"In the 'Members' column, calculate a rough estimate of the average value",37.86206896551724,E,Dropped,I,17,1,"In the 'Dropped' column, find the  with a value equal to '17' ",Magical Warfare,16
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,0,"In the 'Members' column, count how many cells exceed the value of '43' ",8,K,Score,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Score' ,Dropped,J,Members,K,74 73 70,,"In the 'Members' column, give the row names of the animes with the highest 3 values in descending order ",74,6,Different Life,73,24,Fafnar Weapon,70,22,Travel World,Different Life-Fafnar Weapon-Travel World,6 24 22,Favorites,G,,,"In the 'Favorites' column, calculate a rough estimate of the average value",47.6551724137931,G,Dropped,J,12,1,"In the 'Dropped' column, find the  with a value equal to '12' ",Metal Panic,18
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I,57,0,"In the 'Sodium' column, count how many cells exceed the value of '57' ",8,I,Potassium,C,0.9994148327618346,,Determine which of the last 5 columns is most positively correalated with the first column named 'Potassium' ,Sugars,K,Calories,H,88 86 83,,"In the 'Calories' column, give the row names of the cereals with the highest 3 values in descending order ",88,5,Natural Bran,86,19,Almond Raisin,83,20,Fruity Pebbles,Natural Bran-Almond Raisin-Fruity Pebbles,5 19 20,Vitamins,F,,,"In the 'Vitamins' column, calculate a rough estimate of the average value",56.93103448275862,F,Iron,K,51,1,"In the 'Iron' column, find the  with a value equal to '51' ",Corn Favorite,17
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H,70,0,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H,Calories,C,0.9922747576934069,,Determine which of the last 5 columns is most positively correalated with the first column named 'Calories' ,Protein,I,Potassium,I,71 70 68,,"In the 'Potassium' column, give the row names of the cereals with the highest 3 values in descending order ",71,22,Colorful Bran,70,3,Apple Jacks,68,7,Wheat Cream,Colorful Bran-Apple Jacks-Wheat Cream,22 3 7,Score,E,,,"In the 'Score' column, calculate a rough estimate of the average value",42.10344827586207,E,Carbo,H,32,1,"In the 'Carbo' column, find the  with a value equal to '32' ",Fruity Pebbles,19
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J,45,0,"In the 'Protein' column, count how many cells exceed the value of '45' ",6,J,Iron,C,0.9994148327618343,,Determine which of the last 5 columns is most positively correalated with the first column named 'Iron' ,Carbo,J,Protein,J,60 56 53,,"In the 'Protein' column, give the row names of the cereals with the highest 3 values in descending order ",60,7,Natural Bran,56,23,Golden Crisp,53,18,Wonderful Chex,Natural Bran-Golden Crisp-Wonderful Chex,7 23 18,Fat,D,,,"In the 'Fat' column, calculate a rough estimate of the average value",35.62068965517241,D,Potassium,I,83,1,"In the 'Potassium' column, find the  with a value equal to '83' ",Corn Favorite,17
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K,60,0,"In the 'Fat' column, count how many cells exceed the value of '60' ",7,K,Vitamins,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Vitamins' ,Potassium,L,Fat,K,75 73 71,,"In the 'Fat' column, give the row names of the cereals with the highest 3 values in descending order ",75,16,Grape Flakes,73,10,Count Chocula,71,19,Golden Crisp,Grape Flakes-Count Chocula-Golden Crisp,16 10 19,Calories,E,,,"In the 'Calories' column, calculate a rough estimate of the average value",52.310344827586206,E,Fat,K,26,1,"In the 'Fat' column, find the  with a value equal to '26' ",Wonderful Chex,20
DS9_candy_color1.png,9,9,candy,color,1,Hard,K,66,0,"In the 'Hard' column, count how many cells exceed the value of '66' ",5,K,Hard,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Chocolate,L,Caramel,I,98 97 95,,"In the 'Caramel' column, give the row names of the candys with the highest 3 values in descending order ",98,27,Hersheys Kisses,97,31,Pixie Sticks,95,20,Crunch Time,Hersheys Kisses-Pixie Sticks-Crunch Time,27 31 20,Price,G,,,"In the 'Price' column, calculate a rough estimate of the average value",37.86206896551724,G,Bar,J,32,1,"In the 'Bar' column, find the  with a value equal to '32' ",Jaw Busters,19
DS10_candy_color2.png,10,10,candy,color,2,"SugarPercent",J,38,0,"In the 'SugarPercent' column, count how many cells exceed the value of '38' ",8,J,"SugarPercent",C,0.9994148327618345,,"Determine which of the last 5 columns is most positively correalated with the first column named 'SugarPercent' ",Rating,J,Bar,K,75 73 71,,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",75,31,Quarter World,73,8,Caramel Apple,71,26,Life Savers,Quarter World-Caramel Apple-Life Savers,31 8 26,Pluribus,D,,,"In the 'Pluribus' column, calculate a rough estimate of the average value",35.62068965517241,D,Bar,K,68,1,"In the 'Bar' column, find the  with a value equal to '68' ",Haribo Cola,17
DS11_candy_color3.png,11,11,candy,color,3,Caramel,G,50,0,"In the 'Caramel' column, count how many cells exceed the value of '50' ",7,G,Rating,C,0.9994148327618345,,Determine which of the last 5 columns is most positively correalated with the first column named 'Rating' ,Chocolate,K,Bar,H,98 84 80,,"In the 'Bar' column, give the row names of the candys with the highest 3 values in descending order ",98,22,Gob Stopper,84,30,One Dime,80,14,Red Vines,Gob Stopper-One Dime-Red Vines,22 30 14,Nougat,F,,,"In the 'Nougat' column, calculate a rough estimate of the average value",50.241379310344826,F,"SugarPercent",L,26,1,"In the 'SugarPercent' column, find the  with a value equal to '26' ",Hersheys Kisses,11
DS12_candy_color4.png,12,12,candy,color,4,"SugarPercent",I,57,0,"In the 'SugarPercent' column, count how many cells exceed the value of '57' ",6,I,Hard,C,0.992274757693407,,Determine which of the last 5 columns is most positively correalated with the first column named 'Hard' ,Nougat,I,Fruity,L,60 56 53,,"In the 'Fruity' column, give the row names of the candys with the highest 3 values in descending order ",60,9,Laffy Taffy,56,28,Good Bar,53,12,Milk Duds,Laffy Taffy-Good Bar-Milk Duds,9 28 12,Price,G,,,"In the 'Price' column, calculate a rough estimate of the average value",37.86206896551724,G,Pluribus,K,15,1,"In the 'Pluribus' column, find the  with a value equal to '15' ",Red Vines,15
