Task id,Table png,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header, Column,Par 1, Prompt , Expected Answer, Answer Column / Row,
1,DS1_anime_zebra1.png,17,1,anime,zebra,1,Filter,On-Hold,J,80,"In the 'On-Hold' column, count how many cells exceed the value of '80' ",7,J,
1,DS2_anime_zebra2.png,18,2,anime,zebra,2,Filter,Favorites,I,70,"In the 'Favorites' column, count how many cells exceed the value of '70' ",6,I,
1,DS3_anime_zebra3.png,19,3,anime,zebra,3,Filter,On-Hold,G,88,"In the 'On-Hold' column, count how many cells exceed the value of '88' ",5,G,
1,DS4_anime_zebra4.png,20,4,anime,zebra,4,Filter,Score,K,43,"In the 'Score' column, count how many cells exceed the value of '43' ",8,K,
1,DS13_movie_color1.png,13,13,movie,color,1,Filter,Metacritic,H,70,"In the 'Metacritic' column, count how many cells exceed the value of '70' ",5,H,
1,DS14_movie_color2.png,14,14,movie,color,2,Filter,Netflix,I,76,"In the 'Netflix' column, count how many cells exceed the value of '76' ",8,I,
1,DS15_movie_color3.png,15,15,movie,color,3,Filter,Fandango,J,54,"In the 'Fandango' column, count how many cells exceed the value of '54' ",7,J,
1,DS16_movie_color4.png,16,16,movie,color,4,Filter,Naver,G,57,"In the 'Naver' column, count how many cells exceed the value of '57' ",6,G,
1,DS9_candy_bar1.png,57,9,candy,bar,1,Filter,Rating,K,66,"In the 'Rating' column, count how many cells exceed the value of '66' ",5,K,
1,DS10_candy_bar2.png,58,10,candy,bar,2,Filter,Caramel,J,38,"In the 'Caramel' column, count how many cells exceed the value of '38' ",8,J,
1,DS11_candy_bar3.png,59,11,candy,bar,3,Filter,"Sugar Percent",G,50,"In the 'Sugar Percent' column, count how many cells exceed the value of '50' ",7,G,
1,DS12_candy_bar4.png,60,12,candy,bar,4,Filter,Bar,I,57,"In the 'Bar' column, count how many cells exceed the value of '57' ",6,I,
1,DS5_cereal_plain1.png,37,5,cereal,plain,1,Filter,Potassium,I,57,"In the 'Potassium' column, count how many cells exceed the value of '57' ",8,I,
1,DS6_cereal_plain2.png,38,6,cereal,plain,2,Filter,Carbo,H,70,"In the 'Carbo' column, count how many cells exceed the value of '70' ",5,H,
