Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,T1 Header,T1 Column,T1 Num,T1 Prompt ,T1 answer,T2 Header,T2 Column,T2 Prompt ,T2 Header Answer,T2 Answer Column,T3 Header,T3 Column,T3 Prompt ,T3 Highest Row Index,T3 Answer1 ,T3 Second Row Index,T3 Answer2,T3 Third Row Index,T3 Answer3,T4 Header,T4 Column,T4 Prompt ,T4 Answer,T5 Column,T5 Header,T5 Row Index,T5 Value,IsUnique,T5 Prompt,T5 Answer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS1_anime_color1.png,1,1,anime,color,1,Watching,J,80,"In the Watching column, count how many entries exceed the value of 80",7,Episodes,C,Determine which of the last 5 columns are positively correlated with the column named Episodes,Completed,I,Completed,I,"In the Completed column, name the animes with the highest 3 values in descending order ",18,Connect Angel,17,Helping Alice,28,Best Humanity,Score,D,"In the Score column, calculate a rough estimate of the average value",28.896551724137932,G,Members,16,15,1,"In the Members column, find the anime with a value equal to 15",Metal Panic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS2_anime_color2.png,2,2,anime,color,2,Popularity,I,70,"In the Popularity column, count how many entries exceed the value of 70",6,"Plan
 to Watch",C,"Determine which of the last 5 columns are positively correlated with the column named Plan
 to Watch",Favorites,L,Favorites,L,"In the Favorites column, name the animes with the highest 3 values in descending order ",12,Fafnar Weapon,18,Connect Angel,4,Ultra Generation,Episodes,F,"In the Episodes column, calculate a rough estimate of the average value",62.37931034482759,H,Ranked,20,26,1,"In the Ranked column, find the anime with a value equal to 26",Monster Hunter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS3_anime_color3.png,3,3,anime,color,3,Watching,G,88,"In the Watching column, count how many entries exceed the value of 88",5,Completed,C,Determine which of the last 5 columns are positively correlated with the column named Completed,Episodes,K,On-Hold,J,"In the On-Hold column, name the animes with the highest 3 values in descending order ",5,Dragon Ball,10,Different Life,11,Connect Angel,Members,E,"In the Members column, calculate a rough estimate of the average value",37.86206896551724,I,Dropped,16,17,1,"In the Dropped column, find the anime with a value equal to 17",Magical Warfare,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS4_anime_color4.png,4,4,anime,color,4,Members,K,43,"In the Members column, count how many entries exceed the value of 43",8,Score,C,Determine which of the last 5 columns are positively correlated with the column named Score,Dropped,J,Members,K,"In the Members column, name the animes with the highest 3 values in descending order ",6,Different Life,24,Fafnar Weapon,22,Travel World,Favorites,G,"In the Favorites column, calculate a rough estimate of the average value",47.6551724137931,J,Dropped,18,12,1,"In the Dropped column, find the anime with a value equal to 12",Metal Panic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS5_cereal_color1.png,5,5,cereal,color,1,Sodium,I,57,"In the Sodium column, count how many entries exceed the value of 57",8,Fat,C,Determine which of the last 5 columns are positively correlated with the column named Fat,Iron,K,Calories,H,"In the Calories column, name the cereals with the highest 3 values in descending order ",5,Natural Bran,19,Almond Raisin,20,Fruity Pebbles,Vitamins,F,"In the Vitamins column, calculate a rough estimate of the average value",56.93103448275862,K,Iron,17,51,1,"In the Iron column, find the anime with a value equal to 51",Corn Favorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS6_cereal_color2.png,6,6,cereal,color,2,Carbo,H,70,"In the Carbo column, count how many entries exceed the value of 70",5,Protein,C,Determine which of the last 5 columns are positively correlated with the column named Protein,Potassium,I,Potassium,I,"In the Potassium column, name the cereals with the highest 3 values in descending order ",22,Colorful Bran,3,Apple Jacks,7,Wheat Cream,Score,E,"In the Score column, calculate a rough estimate of the average value",42.10344827586207,H,Carbo,19,32,1,"In the Carbo column, find the anime with a value equal to 32",Fruity Pebbles,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS7_cereal_color3.png,7,7,cereal,color,3,Protein,J,45,"In the Protein column, count how many entries exceed the value of 45",6,Sugars,C,Determine which of the last 5 columns are positively correlated with the column named Sugars,Protein,J,Score,K,"In the Score column, name the cereals with the highest 3 values in descending order ",18,Wonderful Chex,15,Colorful Bran,23,Golden Crisp,Fat,D,"In the Fat column, calculate a rough estimate of the average value",35.62068965517241,I,Potassium,17,83,1,"In the Potassium column, find the anime with a value equal to 83",Corn Favorite,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS8_cereal_color4.png,8,8,cereal,color,4,Fat,K,60,"In the Fat column, count how many entries exceed the value of 60",7,Vitamins,C,Determine which of the last 5 columns are positively correlated with the column named Vitamins,Sodium,L,Potassium,J,"In the Potassium column, name the cereals with the highest 3 values in descending order ",19,Golden Crisp,28,Wheat Cream,15,Sweet Combo,Calories,E,"In the Calories column, calculate a rough estimate of the average value",52.310344827586206,K,Fat,20,26,1,"In the Fat column, find the anime with a value equal to 26",Wonderful Chex,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS9_candy_color1.png,9,9,candy,color,1,Hard,K,66,"In the Hard column, count how many entries exceed the value of 66",5,Pluribus,C,Determine which of the last 5 columns are positively correlated with the column named Pluribus,Rating,L,Bar,J,"In the Bar column, name the candys with the highest 3 values in descending order ",25,Good Bar,22,Fruit Chews,5,Boston Beans,Price,G,"In the Price column, calculate a rough estimate of the average value",37.86206896551724,J,Bar,19,32,1,"In the Bar column, find the anime with a value equal to 32",Jaw Busters,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
DS10_candy_color2.png,10,10,candy,color,2,"Sugar
Percent",J,38,"In the Sugar
Percent column, count how many entries exceed the value of 38",8,Price,C,Determine which of the last 5 columns are positively correlated with the column named Price,"Sugar
Percent",J,Fruity,L,"In the Fruity column, name the candys with the highest 3 values in descending order ",26,Life Savers,11,Fun Dips,20,Fruit Chews,Pluribus,D,"In the Pluribus column, calculate a rough estimate of the average value",35.62068965517241,K,Bar,17,68,1,"In the Bar column, find the anime with a value equal to 68",Haribo Cola,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
