task id,Table PNG,Table Rendering,Dataset Number,Topic,Condition,Repetition,Task,Header,Column,Par 1,Prompt,Answer,Answer Column / Row
1,"DS1_anime_zebra1.png",17,1,anime,zebra,1,Filter,On-Hold,J,80,"In the 'ON-HOLD' column, count how many cells exceed the value of '80' ",7,J
1,"DS2_anime_zebra2.png",18,2,anime,zebra,2,Filter,Favorites,I,70,"In the 'FAVORITES' column, count how many cells exceed the value of '70' ",6,I
1,"DS3_anime_zebra3.png",19,3,anime,zebra,3,Filter,On-Hold,G,88,"In the 'ON-HOLD' column, count how many cells exceed the value of '88' ",5,G
1,"DS4_anime_zebra4.png",20,4,anime,zebra,4,Filter,Score,K,43,"In the 'SCORE' column, count how many cells exceed the value of '43' ",8,K
1,"DS5_cereal_bar1.png",53,5,cereal,bar,1,Filter,Carbo,I,57,"In the 'CARBO' column, count how many cells exceed the value of '57' ",8,I
1,"DS6_cereal_bar2.png",54,6,cereal,bar,2,Filter,Sodium,H,70,"In the 'SODIUM' column, count how many cells exceed the value of '70' ",5,H
1,"DS7_cereal_bar3.png",55,7,cereal,bar,3,Filter,Carbo,J,45,"In the 'CARBO' column, count how many cells exceed the value of '45' ",6,J
1,"DS8_cereal_bar4.png",56,8,cereal,bar,4,Filter,Sugars,K,60,"In the 'SUGARS' column, count how many cells exceed the value of '60' ",7,K
1,"DS9_candy_plain1.png",41,9,candy,plain,1,Filter,Fruity,K,66,"In the 'FRUITY' column, count how many cells exceed the value of '66' ",5,K
1,"DS10_candy_plain2.png",42,10,candy,plain,2,Filter,Rating,J,38,"In the 'RATING' column, count how many cells exceed the value of '38' ",8,J
1,"DS11_candy_plain3.png",43,11,candy,plain,3,Filter,Pluribus,G,50,"In the 'PLURIBUS' column, count how many cells exceed the value of '50' ",7,G
1,"DS12_candy_plain4.png",44,12,candy,plain,4,Filter,Nougat,I,57,"In the 'NOUGAT' column, count how many cells exceed the value of '57' ",6,I
1,"DS13_movie_color1.png",13,13,movie,color,1,Filter,Metacritic,H,70,"In the 'METACRITIC' column, count how many cells exceed the value of '70' ",5,H
